x,1_term,2_term,3_term,20_term
0.010,1.000,0.667,0.867,0.774
0.020,1.000,0.667,0.866,0.777
0.030,1.000,0.668,0.865,0.781
0.040,0.999,0.668,0.864,0.786
0.050,0.999,0.669,0.863,0.791
0.060,0.998,0.670,0.861,0.795
0.070,0.998,0.672,0.859,0.797
0.080,0.997,0.673,0.857,0.798
0.090,0.996,0.675,0.855,0.797
0.100,0.995,0.677,0.852,0.794
0.110,0.994,0.679,0.849,0.789
0.120,0.993,0.681,0.846,0.784
0.130,0.992,0.683,0.842,0.779
0.140,0.990,0.686,0.839,0.776
0.150,0.989,0.689,0.835,0.773
0.160,0.987,0.692,0.831,0.773
0.170,0.986,0.695,0.827,0.774
0.180,0.984,0.698,0.822,0.778
0.190,0.982,0.701,0.818,0.782
0.200,0.980,0.705,0.813,0.787
0.210,0.978,0.709,0.808,0.792
0.220,0.976,0.713,0.803,0.796
0.230,0.974,0.717,0.798,0.798
0.240,0.971,0.721,0.793,0.798
0.250,0.969,0.725,0.788,0.796
0.260,0.966,0.729,0.783,0.793
0.270,0.964,0.734,0.778,0.788
0.280,0.961,0.739,0.773,0.783
0.290,0.958,0.743,0.767,0.778
0.300,0.955,0.748,0.762,0.774
0.310,0.952,0.753,0.757,0.772
0.320,0.949,0.758,0.752,0.773
0.330,0.946,0.763,0.747,0.775
0.340,0.943,0.768,0.743,0.779
0.350,0.939,0.774,0.738,0.784
0.360,0.936,0.779,0.733,0.789
0.370,0.932,0.784,0.729,0.794
0.380,0.929,0.789,0.725,0.797
0.390,0.925,0.795,0.721,0.799
0.400,0.921,0.800,0.717,0.798
0.410,0.917,0.806,0.713,0.796
0.420,0.913,0.811,0.710,0.792
0.430,0.909,0.817,0.707,0.786
0.440,0.905,0.822,0.704,0.781
0.450,0.900,0.827,0.702,0.776
0.460,0.896,0.833,0.700,0.773
0.470,0.892,0.838,0.698,0.771
0.480,0.887,0.844,0.696,0.772
0.490,0.882,0.849,0.695,0.775
0.500,0.878,0.854,0.694,0.780
0.510,0.873,0.859,0.693,0.785
0.520,0.868,0.864,0.693,0.791
0.530,0.863,0.869,0.693,0.796
0.540,0.858,0.874,0.693,0.799
0.550,0.853,0.879,0.694,0.800
0.560,0.847,0.884,0.695,0.799
0.570,0.842,0.888,0.697,0.795
0.580,0.836,0.893,0.698,0.790
0.590,0.831,0.897,0.701,0.785
0.600,0.825,0.901,0.703,0.779
0.610,0.820,0.905,0.706,0.774
0.620,0.814,0.909,0.709,0.771
0.630,0.808,0.913,0.713,0.770
0.640,0.802,0.916,0.716,0.772
0.650,0.796,0.919,0.721,0.775
0.660,0.790,0.923,0.725,0.781
0.670,0.784,0.926,0.730,0.787
0.680,0.778,0.928,0.735,0.793
0.690,0.771,0.931,0.740,0.798
0.700,0.765,0.933,0.746,0.801
0.710,0.758,0.935,0.752,0.802
0.720,0.752,0.937,0.758,0.800
0.730,0.745,0.939,0.764,0.795
0.740,0.738,0.940,0.770,0.789
0.750,0.732,0.941,0.777,0.782
0.760,0.725,0.942,0.784,0.776
0.770,0.718,0.942,0.791,0.771
0.780,0.711,0.943,0.798,0.768
0.790,0.704,0.943,0.805,0.768
0.800,0.697,0.943,0.812,0.771
0.810,0.690,0.942,0.819,0.776
0.820,0.682,0.941,0.826,0.782
0.830,0.675,0.940,0.833,0.790
0.840,0.667,0.938,0.840,0.797
0.850,0.660,0.937,0.847,0.802
