London Underground line,PMS,CMYK,RGB
,,,
Bakerloo line,470,C026 M070 Y097 K016,R166 G090 B042
Hammersmith & City line,197,C003 M048 Y015 K000,R236 G155 B173
Piccadilly line,072,C100 M097 Y003 K003,R000 G015 B159
Central line,485,C006 M098 Y100 K001,R225 G037 B027
Jubilee line,430,C055 M041 Y038 K005,R123 G134 B140
Victoria line,299,C081 M018 Y000 K000,R000 G160 B223
Circle line,116,C000 M018 Y100 K000,R255 G205 B000
Metropolitan line,235,C041 M100 T041 K021,R135 G015 B084
Waterloo & City line,338,C055 M000 Y039 K000,R107 G205 B178
District line,356,C096 M027 Y100 K015,R000 G121 B052
Northern line,Black,C000 M000 Y000 K100,R000 G000 B000
